order,urn,name,name_acronym,party,party_acronym,vote,estrato_visual,color_rgba,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
66,urn2,Nivardo Tello,NT,Perú Libre,PL,OPCION 4,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",8060,49,bandeja1,1,0.016761,3.993463,0.23537,10.46,30.51,-14.99,1,OPCION 4,0.5
63,urn2,Wilson Soto,WS,Acción Popular,AP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",8060,50,bandeja1,1,-0.035861,3.938547,0.237626,61.79,-3.92,-30.02,2,OPCION 2,0.6
60,urn2,Silvana Robles,SR,Bancada Socialista,BS,OPCION 4,Cluster_10,"(0.5, 0.5, 0.5, 1.0)",8060,51,bandeja1,1,0.005099,4.004204,0.23348,10.6,30.4,-14.65,3,OPCION 4,0.7
70,urn2,Ana Zegarra,AZ,Somos Perú,SP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",8060,48,bandeja1,1,0.054042,3.9835,0.236143,30.86,9.41,39.79,4,OPCION 2,0.8
68,urn2,Jorge Zeballos,JZ,Renovación Popular,RP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",8060,46,bandeja1,1,-0.009376,4.007436,0.230358,10.33,30.52,-15.29,5,OPCION 4,0.9
71,urn2,Luis Aragón,LA,Acción Popular,AP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",8060,47,bandeja1,1,-0.074961,4.037428,0.223478,2.94,-76.03,-33.05,6,OPCION 4,1.0
69,urn2,Carlos Zeballos,CZ,Bloque Democrático Popular,BDP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",8060,42,bandeja1,1,-0.041003,3.939202,0.212519,-59.36,-21.4,135.72,7,OPCION 4,1.1
1,urn1,María Agüero,MA,Perú Libre,PL,OPCION 4,Cluster_1,"(1.0, 0.2, 0.2, 1.0)",8060,40,bandeja1,1,-0.000911,4.076979,0.213414,-90.91,-16.16,0.93,8,OPCION 4,1.2
67,urn2,Cheryl Trigozo,CT,Renovación Popular,RP,INDETERMINADO,Cluster_11,"(0.4, 0.2, 0.0, 1.0)",8060,45,bandeja1,1,0.048702,3.983762,0.227205,29.86,12.36,34.65,9,OPCION 4,1.3
8,urn1,Isabel Cortez,IC,No agrupado,NA,INDETERMINADO,Cluster_1,"(1.0, 0.2, 0.2, 1.0)",8060,29,bandeja1,1,0.03866,3.999564,0.195974,11.04,8.98,-110.18,10,OPCION 4,1.4
