order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
40,urn1,Patricia Chirinos,PC,Renovación Popular,RP,OPCION 4,8709,1,bandeja1,1,0.06935,4.168597,0.049994,-179.99,0.01,-21.23,1,OPCION 4,0.5
38,urn1,Mary Acuña,MA,Alianza para el Progreso,APP,INDETERMINADO,8709,2,bandeja1,1,0.079837,4.220859,0.049904,179.82,0.03,-21.2,2,OPCION 2,0.6
35,urn1,José Williams,JW,Avanza País,AvP,INDETERMINADO,8709,3,bandeja1,1,-0.135934,3.836904,0.049993,0.01,0.02,-11.08,3,OPCION 4,0.7
36,urn1,Norma Yarrow,NY,Renovación Popular,RP,INDETERMINADO,8709,4,bandeja1,1,0.007784,3.82062,0.049983,-179.97,-0.0,31.08,4,OPCION 2,0.8
34,urn1,Elvis Vergara,EV,Acción Popular,AP,INDETERMINADO,8709,5,bandeja1,1,0.156929,3.83941,0.04999,-0.0,0.0,32.67,5,OPCION 4,0.9
27,urn1,Abel Reyes,AR,Perú Libre,PL,OPCION 4,8709,8,bandeja1,1,-0.204964,3.913327,0.049821,-0.21,0.07,22.15,6,OPCION 4,1.0
31,urn1,Jhakeline Ugarte,JU,Juntos por el Perú,JPP,OPCION 4,8709,9,bandeja1,1,0.14241,3.90233,0.049659,-0.72,-0.01,46.61,7,OPCION 4,1.1
39,urn1,Segundo Acuña,SA,Honor y Democracia,HyD,INDETERMINADO,8709,6,bandeja1,1,-0.095803,4.213529,0.049977,-179.93,0.05,22.07,8,OPCION 4,1.2
37,urn1,Óscar Zea,OZ,Somos Perú,SP,INDETERMINADO,8709,7,bandeja1,1,0.02003,3.804694,0.069983,-179.99,0.01,21.2,9,OPCION 4,1.3
30,urn1,Adriana Tudela,AT,Avanza País,AvP,INDETERMINADO,8709,10,bandeja1,1,-0.178504,4.056164,0.049893,179.78,0.01,-25.46,10,OPCION 4,1.4
33,urn1,Elías Varas,EV,Juntos por el Perú,JPP,OPCION 4,8709,13,bandeja1,1,0.172917,3.852816,0.069988,-0.0,0.0,-26.8,11,OPCION 4,1.5
32,urn1,Héctor Valer,HV,Somos Perú,SP,INDETERMINADO,8709,11,bandeja1,1,-0.022959,4.222181,0.049976,0.06,179.99,-81.76,12,OPCION 2,1.6
29,urn1,Rosio Torres,RT,Alianza para el Progreso,APP,INDETERMINADO,8709,12,bandeja1,1,-0.117528,4.135058,0.050002,0.17,0.1,-72.53,13,OPCION 2,1.7
22,urn1,Jorge Marticorena,JM,Alianza para el Progreso,APP,INDETERMINADO,8709,14,bandeja1,1,0.143209,4.08809,0.05,-0.0,0.0,-7.87,14,OPCION 4,1.8
20,urn1,Judith Laura,JL,Podemos Perú,PP,INDETERMINADO,8709,15,bandeja1,1,0.182966,3.974551,0.049973,0.06,179.98,69.44,15,OPCION 2,1.9
26,urn1,César Revilla,CR,Fuerza Popular,FP,INDETERMINADO,8709,16,bandeja1,1,0.003178,4.240145,0.069975,179.93,0.04,2.77,16,OPCION 4,2.0
21,urn1,George Málaga,GM,No agrupado,NA,INDETERMINADO,8709,17,bandeja1,1,0.026746,4.128757,0.049795,0.3,0.08,-21.25,17,OPCION 4,2.1
19,urn1,Patricia Juárez,PJ,Fuerza Popular,FP,INDETERMINADO,8709,18,bandeja1,1,0.225095,3.93718,0.050002,179.99,-0.01,69.45,18,OPCION 4,2.2
28,urn1,Magally Santisteban,MS,Fuerza Popular,FP,INDETERMINADO,8709,19,bandeja1,1,-0.163443,3.972711,0.049909,0.13,0.06,155.06,19,OPCION 2,2.3
14,urn1,Alex Flores,AF,Bancada Socialista,BS,OPCION 4,8709,21,bandeja1,1,-0.065801,3.782715,0.049984,0.02,0.01,-3.08,20,OPCION 4,2.4
25,urn1,Auristela Obando,AO,Fuerza Popular,FP,INDETERMINADO,8709,20,bandeja1,1,-0.173481,3.951321,0.069885,-0.05,-0.03,10.52,21,OPCION 4,2.5
13,urn1,Jorge Flores,JF,Alianza para el Progreso,APP,INDETERMINADO,8709,22,bandeja1,1,0.150294,4.155373,0.05,0.0,-180.0,71.5,22,OPCION 2,2.6
18,urn1,Mery Infantes,MI,Fuerza Popular,FP,INDETERMINADO,8709,23,bandeja1,1,0.091634,4.210562,0.069919,-0.19,-0.1,-55.21,23,OPCION 2,2.7
11,urn1,Pasión Dávila,PD,Bancada Socialista,BS,OPCION 4,8709,24,bandeja1,1,-0.047407,3.850665,0.049948,-0.08,-0.0,30.89,24,OPCION 4,2.8
16,urn1,Idelso García,IG,Alianza para el Progreso,APP,INDETERMINADO,8709,25,bandeja1,1,-0.118549,3.891654,0.050007,0.02,0.03,-19.1,25,OPCION 4,2.9
23,urn1,Esdras Medina,EM,Renovación Popular,RP,INDETERMINADO,8709,26,bandeja1,1,0.052907,4.17418,0.069993,0.01,0.02,-55.16,26,OPCION 2,3.0
15,urn1,Víctor Flores,VF,Fuerza Popular,FP,INDETERMINADO,8709,27,bandeja1,1,-0.092582,4.216493,0.069971,0.08,0.06,16.64,27,OPCION 2,3.1
9,urn1,Flavio Cruz,FC,Perú Libre,PL,OPCION 4,8709,30,bandeja1,1,0.140177,4.013183,0.049999,0.0,0.0,65.65,28,OPCION 4,3.2
10,urn1,José Cueto,JC,Renovación Popular,RP,INDETERMINADO,8709,28,bandeja1,1,-0.047019,4.155159,0.049993,-0.02,0.0,-14.1,29,OPCION 2,3.3
5,urn1,José Balcázar,JB,Perú Libre,PL,OPCION 4,8709,31,bandeja1,1,-0.172174,4.112572,0.069865,-179.92,-0.06,-18.14,30,OPCION 4,3.4
6,urn1,Nilza Chacón,NC,Fuerza Popular,FP,INDETERMINADO,8709,29,bandeja1,1,0.045466,3.781001,0.04998,179.99,0.0,29.78,31,OPCION 4,3.5
12,urn1,Hamlet Echeverría,HE,Juntos por el Perú,JPP,OPCION 4,8709,34,bandeja1,1,-0.025061,4.13809,0.069968,179.98,0.02,-29.27,32,OPCION 4,3.6
8,urn1,Isabel Cortez,IC,No agrupado,NA,INDETERMINADO,8709,32,bandeja1,1,0.103656,3.942058,0.049959,-0.08,-0.02,51.14,33,OPCION 4,3.7
1,urn1,María Agüero,MA,Perú Libre,PL,OPCION 4,8709,36,bandeja1,1,-0.12366,3.842858,0.069993,0.02,-0.01,59.93,34,OPCION 4,3.8
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,8709,33,bandeja1,1,-0.076966,4.085611,0.066246,-90.0,0.01,24.74,35,VICIADO,3.9
4,urn1,Luis Alegría,LA,Fuerza Popular,FP,OPCION 2,8709,38,bandeja1,1,0.033402,4.083295,0.062686,-146.99,0.05,-21.32,36,OPCION 2,4.0
24,urn1,Segundo Montalvo,SM,Perú Libre,PL,INDETERMINADO,8709,35,bandeja1,1,-0.053915,4.073851,0.066246,-90.0,0.01,24.95,37,OPCION 2,4.1
2,urn1,Alejandro Aguinaga,AA,Fuerza Popular,FP,INDETERMINADO,8709,37,bandeja1,1,0.072737,3.861191,0.049993,0.0,0.01,35.42,38,OPCION 4,4.2
3,urn1,Yorel Alcarraz,YA,Somos Perú,SP,INDETERMINADO,8709,39,bandeja1,1,-0.112343,4.022126,0.049984,-0.03,0.02,-116.66,39,OPCION 4,4.3
7,urn1,Luis Cordero,LC,Alianza para el Progreso,APP,INDETERMINADO,8709,40,bandeja1,1,-0.004887,4.01924,0.062615,-147.15,0.03,-21.27,40,OPCION 2,4.4
72,urn2,Margot Palacios,MP,No agrupado,NA,INDETERMINADO,8709,41,bandeja1,1,0.012793,4.051961,0.062667,-146.92,-0.0,-21.19,41,OPCION 4,4.5
